,"Euro Area, EUR per USD","United Kingdom, GBP per USD"
2/1/1971,0.9722,0.413625
3/1/1971,0.971721739,0.413434783
4/1/1971,0.972063636,0.413581818
5/1/1971,0.966947619,0.413438095
6/1/1971,0.964931818,0.413418182
7/1/1971,0.962036364,0.413468182
8/1/1971,0.952945455,0.411345455
9/1/1971,0.941354545,0.405040909
10/1/1971,0.934438095,0.401733333
11/1/1971,0.932954545,0.401068182
12/1/1971,0.915978261,0.395795652
1/1/1972,0.896719048,0.389042857
2/1/1972,0.885385714,0.384057143
3/1/1972,0.880808696,0.381978261
4/1/1972,0.8829,0.383105
5/1/1972,0.881391304,0.382791304
6/1/1972,0.88425,0.389422727
7/1/1972,0.891242857,0.409252381
8/1/1972,0.893056522,0.408121739
9/1/1972,0.894919048,0.409590476
10/1/1972,0.900918182,0.417463636
11/1/1972,0.904763636,0.425236364
12/1/1972,0.906190476,0.426457143
1/1/1973,0.905569565,0.424478261
2/1/1973,0.86502,0.41244
3/1/1973,0.827845455,0.404481818
4/1/1973,0.837119048,0.402609524
5/1/1973,0.825047826,0.395156522
6/1/1973,0.790895238,0.388171429
7/1/1973,0.754,0.393836364
8/1/1973,0.776365217,0.403947826
9/1/1973,0.776705,0.413185
10/1/1973,0.770182609,0.411726087
11/1/1973,0.808031818,0.418636364
12/1/1973,0.837252381,0.4316
1/1/1974,0.888195652,0.448934783
2/1/1974,0.8703,0.439915
3/1/1974,0.844514286,0.4273
4/1/1974,0.829677273,0.418681818
5/1/1974,0.816247826,0.414417391
6/1/1974,0.83028,0.418385
7/1/1974,0.826530435,0.418421739
8/1/1974,0.839986364,0.426377273
9/1/1974,0.851028571,0.431680952
10/1/1974,0.838717391,0.428621739
11/1/1974,0.825857143,0.429847619
12/1/1974,0.810022727,0.4293
1/1/1975,0.786334783,0.423408696
2/1/1975,0.773795,0.41756
3/1/1975,0.764766667,0.4136
4/1/1975,0.776259091,0.421813636
5/1/1975,0.768413636,0.430740909
6/1/1975,0.767819048,0.438633333
7/1/1975,0.80673913,0.457565217
8/1/1975,0.83702381,0.472947619
9/1/1975,0.851504545,0.479822727
10/1/1975,0.846243478,0.486152174
11/1/1975,0.84721,0.48791
12/1/1975,0.857656522,0.494613043
1/1/1976,0.858709091,0.493127273
2/1/1976,0.86363,0.49361
3/1/1976,0.884791304,0.514865217
4/1/1976,0.897245455,0.541377273
5/1/1976,0.903080952,0.553957143
6/1/1976,0.9106,0.566854545
7/1/1976,0.911495455,0.559886364
8/1/1976,0.908372727,0.561063636
9/1/1976,0.903372727,0.577922727
10/1/1976,0.902380952,0.610447619
11/1/1976,0.900618182,0.611240909
12/1/1976,0.891421739,0.595713043
1/1/1977,0.891747619,0.583942857
2/1/1977,0.895335,0.584645
3/1/1977,0.892582609,0.58223913
4/1/1977,0.888909524,0.581671429
5/1/1977,0.885277273,0.581909091
6/1/1977,0.885304545,0.581654545
7/1/1977,0.870152381,0.580542857
8/1/1977,0.874778261,0.574743478
9/1/1977,0.878427273,0.573663636
10/1/1977,0.866252381,0.56477619
11/1/1977,0.857195455,0.550222727
12/1/1977,0.833636364,0.539404545
1/1/1978,0.816163636,0.517122727
2/1/1978,0.810055,0.51535
3/1/1978,0.798230435,0.524908696
4/1/1978,0.79923,0.540315
5/1/1978,0.818308696,0.549921739
6/1/1978,0.809986364,0.544259091
7/1/1978,0.794866667,0.52792381
8/1/1978,0.776756522,0.515173913
9/1/1978,0.769590476,0.510519048
10/1/1978,0.732627273,0.498445455
11/1/1978,0.753236364,0.510209091
12/1/1978,0.748428571,0.503533333
1/1/1979,0.736052174,0.498369565
2/1/1979,0.73983,0.499155
3/1/1979,0.739618182,0.49065
4/1/1979,0.748004762,0.482157143
5/1/1979,0.756326087,0.485843478
6/1/1979,0.748204762,0.473657143
7/1/1979,0.720840909,0.442627273
8/1/1979,0.723,0.446817391
9/1/1979,0.715315,0.454725
10/1/1979,0.718491304,0.466343478
11/1/1979,0.71565,0.469072727
12/1/1979,0.699842857,0.454304762
1/1/1980,0.692856522,0.441704348
2/1/1980,0.699128571,0.436728571
3/1/1980,0.736842857,0.4533
4/1/1980,0.745622727,0.452877273
5/1/1980,0.713272727,0.434118182
6/1/1980,0.702728571,0.428114286
7/1/1980,0.694117391,0.42146087
8/1/1980,0.707719048,0.421885714
9/1/1980,0.706890909,0.416331818
10/1/1980,0.722104348,0.413791304
11/1/1980,0.748905,0.41736
12/1/1980,0.768373913,0.425926087
1/1/1981,0.777127273,0.415981818
2/1/1981,0.82893,0.436105
3/1/1981,0.829477273,0.447968182
4/1/1981,0.852477273,0.459531818
5/1/1981,0.902909524,0.478209524
6/1/1981,0.939118182,0.506804545
7/1/1981,0.967608696,0.533182609
8/1/1981,0.993314286,0.548928571
9/1/1981,0.9465,0.550468182
10/1/1981,0.9212,0.5428
11/1/1981,0.910314286,0.525347619
12/1/1981,0.923717391,0.525343478
1/1/1982,0.936547619,0.529566667
2/1/1982,0.96848,0.54151
3/1/1982,0.98746087,0.553386957
4/1/1982,1.002622727,0.564786364
5/1/1982,0.968804762,0.552552381
6/1/1982,1.023068182,0.569009091
7/1/1982,1.043381818,0.576481818
8/1/1982,1.050481818,0.579040909
9/1/1982,1.062445455,0.583427273
10/1/1982,1.074828571,0.589033333
11/1/1982,1.092163636,0.6126
12/1/1982,1.047534783,0.618313043
1/1/1983,1.040061905,0.634966667
2/1/1983,1.0595,0.652425
3/1/1983,1.065647826,0.671008696
4/1/1983,1.081047619,0.651433333
5/1/1983,1.088340909,0.635454545
6/1/1983,1.12065,0.645640909
7/1/1983,1.13757619,0.654357143
8/1/1983,1.17336087,0.666082609
9/1/1983,1.174036364,0.667404545
10/1/1983,1.154833333,0.667819048
11/1/1983,1.185504545,0.676818182
12/1/1983,1.216859091,0.696804545
1/1/1984,1.243254545,0.709159091
2/1/1984,1.204528571,0.694566667
3/1/1984,1.162886364,0.686636364
4/1/1984,1.1834,0.702495238
5/1/1984,1.226756522,0.719434783
6/1/1984,1.225109524,0.72612381
7/1/1984,1.273045455,0.756977273
8/1/1984,1.288852174,0.761173913
9/1/1984,1.34903,0.79456
10/1/1984,1.373165217,0.819695652
11/1/1984,1.340681818,0.805804545
12/1/1984,1.391266667,0.843128571
1/1/1985,1.42393913,0.885221739
2/1/1985,1.480975,0.91502
3/1/1985,1.48407619,0.892861905
4/1/1985,1.382768182,0.808331818
5/1/1985,1.3874,0.801034783
6/1/1985,1.364485,0.78083
7/1/1985,1.296604348,0.726178261
8/1/1985,1.253313636,0.722472727
9/1/1985,1.275352381,0.733128571
10/1/1985,1.195243478,0.703143478
11/1/1985,1.174304762,0.69447619
12/1/1985,1.145831818,0.6926
1/1/1986,1.122569565,0.701952174
2/1/1986,1.078485,0.69943
3/1/1986,1.048533333,0.680733333
4/1/1986,1.054759091,0.6678
5/1/1986,1.034227273,0.658231818
6/1/1986,1.039971429,0.662638095
7/1/1986,1.011547826,0.66303913
8/1/1986,0.979466667,0.672638095
9/1/1986,0.973936364,0.679740909
10/1/1986,0.96233913,0.700813043
11/1/1986,0.970345,0.701605
12/1/1986,0.955217391,0.695026087
1/1/1987,0.901231818,0.66435
2/1/1987,0.883795,0.65458
3/1/1987,0.883645455,0.628181818
4/1/1987,0.871540909,0.6132
5/1/1987,0.860933333,0.600185714
6/1/1987,0.876131818,0.613913636
7/1/1987,0.889608696,0.621065217
8/1/1987,0.895138095,0.625338095
9/1/1987,0.872895455,0.607595455
10/1/1987,0.866954545,0.6019
11/1/1987,0.814080952,0.562966667
12/1/1987,0.79263913,0.546743478
1/1/1988,0.800104762,0.554719048
2/1/1988,0.820242857,0.568604762
3/1/1988,0.808369565,0.545708696
4/1/1988,0.805357143,0.532309524
5/1/1988,0.816059091,0.535231818
6/1/1988,0.84715,0.562831818
7/1/1988,0.886995238,0.586680952
8/1/1988,0.906091304,0.589330435
9/1/1988,0.900440909,0.593936364
10/1/1988,0.877280952,0.575619048
11/1/1988,0.842981818,0.552668182
12/1/1988,0.845277273,0.547918182
1/1/1989,0.879545455,0.563340909
2/1/1989,0.888375,0.570095
3/1/1989,0.897708696,0.583543478
4/1/1989,0.898785,0.587945
5/1/1989,0.936182609,0.614491304
6/1/1989,0.954459091,0.6439
7/1/1989,0.912833333,0.615266667
8/1/1989,0.928730435,0.627243478
9/1/1989,0.940514286,0.636780952
10/1/1989,0.908504545,0.630072727
11/1/1989,0.893513636,0.635995455
12/1/1989,0.856609524,0.626266667
1/1/1990,0.8319,0.605995652
2/1/1990,0.821145,0.589415
3/1/1990,0.835786364,0.615581818
4/1/1990,0.823990476,0.610580952
5/1/1990,0.810717391,0.595995652
6/1/1990,0.816285714,0.584647619
7/1/1990,0.791045455,0.552909091
8/1/1990,0.757013043,0.525973913
9/1/1990,0.757975,0.532025
10/1/1990,0.736656522,0.513626087
11/1/1990,0.720190909,0.508995455
12/1/1990,0.73092381,0.520695238
1/1/1991,0.731321739,0.516652174
2/1/1991,0.719975,0.50921
3/1/1991,0.783619048,0.549428571
4/1/1991,0.825818182,0.571627273
5/1/1991,0.83613913,0.579991304
6/1/1991,0.86711,0.60613
7/1/1991,0.869956522,0.606413043
8/1/1991,0.849259091,0.5938
9/1/1991,0.827009524,0.579728571
10/1/1991,0.824769565,0.5804
11/1/1991,0.794538095,0.562252381
12/1/1991,0.767368182,0.546581818
1/1/1992,0.772978261,0.552247826
2/1/1992,0.792145,0.562675
3/1/1992,0.812386364,0.580027273
4/1/1992,0.8051,0.569236364
5/1/1992,0.78917619,0.552542857
6/1/1992,0.766468182,0.539095455
7/1/1992,0.730247826,0.521447826
8/1/1992,0.712438095,0.514571429
9/1/1992,0.729090909,0.541622727
10/1/1992,0.758340909,0.604381818
11/1/1992,0.808504762,0.654980952
12/1/1992,0.808152174,0.644869565
1/1/1993,0.8239,0.65247619
2/1/1993,0.845045,0.695185
3/1/1993,0.84856087,0.684147826
4/1/1993,0.819486364,0.647304545
5/1/1993,0.821619048,0.645790476
6/1/1993,0.845763636,0.662977273
7/1/1993,0.880690909,0.668245455
8/1/1993,0.887695455,0.670322727
9/1/1993,0.853331818,0.655368182
10/1/1993,0.862433333,0.664738095
11/1/1993,0.886290909,0.675122727
12/1/1993,0.885695652,0.670273913
1/1/1994,0.897871429,0.669719048
2/1/1994,0.89435,0.67583
3/1/1994,0.876430435,0.670321739
4/1/1994,0.878490476,0.674714286
5/1/1994,0.859840909,0.664913636
6/1/1994,0.847027273,0.655759091
7/1/1994,0.820771429,0.64682381
8/1/1994,0.820917391,0.648443478
9/1/1994,0.812186364,0.639009091
10/1/1994,0.797052381,0.622847619
11/1/1994,0.808618182,0.629677273
12/1/1994,0.824981818,0.641681818
1/1/1995,0.808295455,0.635313636
2/1/1995,0.79901,0.63619
3/1/1995,0.767704348,0.624952174
4/1/1995,0.75263,0.622105
5/1/1995,0.764691304,0.629713043
6/1/1995,0.758131818,0.626895455
7/1/1995,0.749661905,0.626852381
8/1/1995,0.772530435,0.638173913
9/1/1995,0.783233333,0.6417
10/1/1995,0.770509091,0.633804545
11/1/1995,0.771909091,0.640109091
12/1/1995,0.783757143,0.649109524
1/1/1996,0.791965217,0.65303913
2/1/1996,0.797666667,0.650871429
3/1/1996,0.797328571,0.654757143
4/1/1996,0.804236364,0.659722727
5/1/1996,0.8143,0.660230435
6/1/1996,0.80765,0.64862
7/1/1996,0.79606087,0.643491304
8/1/1996,0.788127273,0.644927273
9/1/1996,0.794685714,0.641166667
10/1/1996,0.797686957,0.63056087
11/1/1996,0.787080952,0.60152381
12/1/1996,0.804977273,0.60055
1/1/1997,0.825343478,0.602295652
2/1/1997,0.86318,0.615555
3/1/1997,0.872371429,0.621409524
4/1/1997,0.876995455,0.613672727
5/1/1997,0.874477273,0.6125
6/1/1997,0.884047619,0.608028571
7/1/1997,0.908095652,0.598773913
8/1/1997,0.934595238,0.623709524
9/1/1997,0.911172727,0.624386364
10/1/1997,0.893608696,0.612434783
11/1/1997,0.875565,0.59206
12/1/1997,0.898873913,0.6022
1/1/1998,0.919327273,0.611277273
2/1/1998,0.918115,0.609465
3/1/1998,0.921009091,0.601727273
4/1/1998,0.91465,0.597740909
5/1/1998,0.900738095,0.610619048
6/1/1998,0.9072,0.605804545
7/1/1998,0.909691304,0.608347826
8/1/1998,0.906266667,0.61207619
9/1/1998,0.8645,0.594440909
10/1/1998,0.831954545,0.589977273
11/1/1998,0.855490476,0.60172381
12/1/1998,0.850817391,0.598465217
1/1/1999,0.861828571,0.605514286
2/1/1999,0.89304,0.6144
3/1/1999,0.918830435,0.61656087
4/1/1999,0.934063636,0.6212
5/1/1999,0.941257143,0.619352381
6/1/1999,0.963881818,0.627040909
7/1/1999,0.965745455,0.635122727
8/1/1999,0.943031818,0.622563636
9/1/1999,0.951568182,0.615668182
10/1/1999,0.934742857,0.60342381
11/1/1999,0.968759091,0.616818182
12/1/1999,0.989313043,0.619852174
1/1/2000,0.987657143,0.609995238
2/1/2000,1.016828571,0.625057143
3/1/2000,1.036382609,0.632830435
4/1/2000,1.057205,0.63157
5/1/2000,1.103326087,0.663030435
6/1/2000,1.052627273,0.66275
7/1/2000,1.063909524,0.662795238
8/1/2000,1.105552174,0.671121739
9/1/2000,1.147661905,0.696795238
10/1/2000,1.171131818,0.689145455
11/1/2000,1.169036364,0.701518182
12/1/2000,1.111461905,0.683195238
1/1/2001,1.066743478,0.676765217
2/1/2001,1.08621,0.688255
3/1/2001,1.100395455,0.69195
4/1/2001,1.1212,0.696719048
5/1/2001,1.143291304,0.701104348
6/1/2001,1.172780952,0.713642857
7/1/2001,1.162272727,0.707309091
8/1/2001,1.110369565,0.696082609
9/1/2001,1.097545,0.68337
10/1/2001,1.103891304,0.688956522
11/1/2001,1.126072727,0.696604545
12/1/2001,1.1226,0.693933333
1/1/2002,1.132217391,0.697743478
2/1/2002,1.148815,0.702735
3/1/2002,1.140814286,0.702966667
4/1/2002,1.128413636,0.6929
5/1/2002,1.090586957,0.685091304
6/1/2002,1.04596,0.674055
7/1/2002,1.00773913,0.643313043
8/1/2002,1.022736364,0.650640909
9/1/2002,1.019361905,0.642638095
10/1/2002,1.018891304,0.642113043
11/1/2002,0.9982,0.636066667
12/1/2002,0.980295455,0.630068182
1/1/2003,0.94196087,0.618647826
2/1/2003,0.927835,0.621885
3/1/2003,0.925290476,0.631542857
4/1/2003,0.921259091,0.635290909
5/1/2003,0.864645455,0.616263636
6/1/2003,0.857085714,0.602252381
7/1/2003,0.879195652,0.615986957
8/1/2003,0.896838095,0.627409524
9/1/2003,0.889113636,0.620131818
10/1/2003,0.853934783,0.595713043
11/1/2003,0.853765,0.591685
12/1/2003,0.813147826,0.570643478
1/1/2004,0.792586364,0.549059091
2/1/2004,0.791265,0.53562
3/1/2004,0.81486087,0.547304348
4/1/2004,0.833913636,0.554640909
5/1/2004,0.832804762,0.55912381
6/1/2004,0.823490909,0.547245455
7/1/2004,0.815109091,0.542718182
8/1/2004,0.820295455,0.549440909
9/1/2004,0.818968182,0.558004545
10/1/2004,0.800314286,0.553633333
11/1/2004,0.769390909,0.537645455
12/1/2004,0.746108696,0.518817391
1/1/2005,0.762766667,0.532604762
2/1/2005,0.76848,0.530025
3/1/2005,0.758526087,0.525208696
4/1/2005,0.772833333,0.527466667
5/1/2005,0.788572727,0.539486364
6/1/2005,0.822595455,0.550077273
7/1/2005,0.83087619,0.571180952
8/1/2005,0.81323913,0.557252174
9/1/2005,0.816559091,0.553245455
10/1/2005,0.831852381,0.566914286
11/1/2005,0.84875,0.576613636
12/1/2005,0.843372727,0.573122727
1/1/2006,0.825845455,0.56635
2/1/2006,0.837805,0.572385
3/1/2006,0.831626087,0.573482609
4/1/2006,0.81504,0.56578
5/1/2006,0.783234783,0.5354
6/1/2006,0.790090909,0.542590909
7/1/2006,0.7882,0.542095238
8/1/2006,0.780413043,0.527752174
9/1/2006,0.786019048,0.530680952
10/1/2006,0.792790909,0.533236364
11/1/2006,0.776036364,0.523113636
12/1/2006,0.757214286,0.509328571
1/1/2007,0.769404348,0.5106
2/1/2007,0.764495,0.510725
3/1/2007,0.755163636,0.513604545
4/1/2007,0.739928571,0.503014286
5/1/2007,0.7399,0.504056522
6/1/2007,0.745366667,0.503442857
7/1/2007,0.728777273,0.491681818
8/1/2007,0.734052174,0.497278261
9/1/2007,0.71915,0.495455
10/1/2007,0.702830435,0.4891
11/1/2007,0.681322727,0.483081818
12/1/2007,0.687380952,0.496428571
1/1/2008,0.679591304,0.507473913
2/1/2008,0.678157143,0.509233333
3/1/2008,0.644271429,0.49967619
4/1/2008,0.634818182,0.50465
5/1/2008,0.642904545,0.508872727
6/1/2008,0.642780952,0.508714286
7/1/2008,0.634547826,0.502995652
8/1/2008,0.6685,0.530157143
9/1/2008,0.69665,0.556154545
10/1/2008,0.753956522,0.592873913
11/1/2008,0.78525,0.65252
12/1/2008,0.74056087,0.67383913
1/1/2009,0.753936364,0.692854545
2/1/2009,0.78184,0.69383
3/1/2009,0.767027273,0.705768182
4/1/2009,0.757986364,0.679672727
5/1/2009,0.7323,0.648585714
6/1/2009,0.713795455,0.611072727
7/1/2009,0.710178261,0.611108696
8/1/2009,0.701042857,0.605171429
9/1/2009,0.686663636,0.612572727
10/1/2009,0.674704545,0.617527273
11/1/2009,0.670357143,0.602547619
12/1/2009,0.686308696,0.616769565
1/1/2010,0.700685714,0.6188
2/1/2010,0.73144,0.64062
3/1/2010,0.736826087,0.664156522
4/1/2010,0.745390909,0.652422727
5/1/2010,0.797771429,0.682704762
6/1/2010,0.818390909,0.677463636
7/1/2010,0.781554545,0.653918182
8/1/2010,0.775354545,0.638959091
9/1/2010,0.7642,0.642022727
10/1/2010,0.719509524,0.630471429
11/1/2010,0.733345455,0.626618182
12/1/2010,0.756808696,0.641769565
1/1/2011,0.748190476,0.633766667
2/1/2011,0.73253,0.619995
3/1/2011,0.713365217,0.618882609
4/1/2011,0.691809524,0.610804762
5/1/2011,0.697936364,0.612186364
6/1/2011,0.694622727,0.616836364
7/1/2011,0.700485714,0.619480952
8/1/2011,0.698195652,0.611621739
9/1/2011,0.726986364,0.63375
10/1/2011,0.729061905,0.634638095
11/1/2011,0.737827273,0.63285
12/1/2011,0.760418182,0.641345455
1/1/2012,0.775913636,0.644890909
2/1/2012,0.755671429,0.632852381
3/1/2012,0.757227273,0.632045455
4/1/2012,0.759980952,0.625061905
5/1/2012,0.781686957,0.628417391
6/1/2012,0.797828571,0.643028571
7/1/2012,0.813945455,0.641513636
8/1/2012,0.806191304,0.636095652
9/1/2012,0.777165,0.62053
10/1/2012,0.77076087,0.621934783
11/1/2012,0.779427273,0.626527273
12/1/2012,0.762071429,0.619457143
1/1/2013,0.752243478,0.626247826
2/1/2013,0.74919,0.64622
3/1/2013,0.772042857,0.663071429
4/1/2013,0.767722727,0.653109091
5/1/2013,0.770482609,0.654230435
6/1/2013,0.7586,0.646145
7/1/2013,0.764669565,0.6592
8/1/2013,0.751063636,0.6448
9/1/2013,0.749128571,0.630433333
10/1/2013,0.733021739,0.621408696
11/1/2013,0.741352381,0.621033333
12/1/2013,0.729681818,0.610622727
1/1/2014,0.734169565,0.607078261
2/1/2014,0.731775,0.603675
3/1/2014,0.723195238,0.601647619
4/1/2014,0.724159091,0.597109091
5/1/2014,0.728145455,0.593663636
6/1/2014,0.7356,0.591557143
7/1/2014,0.738886957,0.585908696
8/1/2014,0.750952381,0.598714286
9/1/2014,0.775227273,0.613363636
10/1/2014,0.789043478,0.622365217
11/1/2014,0.80141,0.63376
12/1/2014,0.812043478,0.639695652
1/1/2015,0.859859091,0.6597
2/1/2015,0.88062,0.652225
3/1/2015,0.924531818,0.668704545
4/1/2015,0.924381818,0.668390909
5/1/2015,0.896333333,0.647285714
6/1/2015,0.891559091,0.642459091
7/1/2015,0.908782609,0.642686957
8/1/2015,0.898461905,0.642138095
9/1/2015,0.891613636,0.652513636
10/1/2015,0.890377273,0.651986364
11/1/2015,0.93287619,0.658395238
12/1/2015,0.918504348,0.66786087
1/1/2016,0.921861905,0.694714286
2/1/2016,0.901742857,0.69967619
3/1/2016,0.898491304,0.702073913
4/1/2016,0.881871429,0.698804762
5/1/2016,0.884659091,0.688268182
6/1/2016,0.890336364,0.704781818
7/1/2016,0.904385714,0.761080952
8/1/2016,0.892343478,0.763513043
9/1/2016,0.892009091,0.76105
10/1/2016,0.907757143,0.811352381
11/1/2016,0.927722727,0.804486364
12/1/2016,0.948927273,0.802036364
1/1/2017,0.940954545,0.810004545
2/1/2017,0.93937,0.800665
3/1/2017,0.935334783,0.809965217
4/1/2017,0.933345,0.791185
5/1/2017,0.904517391,0.773486957
6/1/2017,0.89,0.780527273
7/1/2017,0.868128571,0.769604762
8/1/2017,0.846686957,0.772065217
9/1/2017,0.839495238,0.750719048
10/1/2017,0.850654545,0.757786364
11/1/2017,0.851763636,0.756554545
12/1/2017,0.845152381,0.746395238
1/1/2018,0.820017391,0.724026087
2/1/2018,0.810285,0.716315
3/1/2018,0.810995455,0.71575
4/1/2018,0.814942857,0.71022381
5/1/2018,0.847126087,0.74316087
6/1/2018,0.856338095,0.752609524
7/1/2018,0.856009091,0.75945
8/1/2018,0.865852174,0.776413043
9/1/2018,0.85706,0.76565
10/1/2018,0.870773913,0.768608696
11/1/2018,0.879977273,0.775213636
12/1/2018,0.878971429,0.789519048
1/1/2019,0.875182609,0.775965217
2/1/2019,0.881385,0.7683
3/1/2019,0.885228571,0.759609524
4/1/2019,0.889959091,0.767372727
5/1/2019,0.893886957,0.778656522
6/1/2019,0.885335,0.788685
7/1/2019,0.891704348,0.802147826
8/1/2019,0.898881818,0.822590909
9/1/2019,0.908395238,0.809466667
10/1/2019,0.904656522,0.791078261
11/1/2019,0.905019048,0.776166667
12/1/2019,0.899936364,0.763595455
1/1/2020,0.900786957,0.764586957
2/1/2020,0.917045,0.771745
3/1/2020,0.905763636,0.809931818
4/1/2020,0.919736364,0.805368182
