;United States, ISM, Report on Business, Manufacturing, Purchasing Managers' Index;Denmark, DILF, Purchasing Managers' Index, Total, Index
01.01.1948;51,7;
01.02.1948;50,2;
01.03.1948;43,3;
01.04.1948;45,4;
01.05.1948;49,5;
01.06.1948;53;
01.07.1948;48,4;
01.08.1948;45,1;
01.09.1948;42,1;
01.10.1948;47,2;
01.11.1948;42,4;
01.12.1948;35;
01.01.1949;32,9;
01.02.1949;31,3;
01.03.1949;34,5;
01.04.1949;35,5;
01.05.1949;32,6;
01.06.1949;31,6;
01.07.1949;39;
01.08.1949;47;
01.09.1949;52,3;
01.10.1949;51;
01.11.1949;51;
01.12.1949;57,3;
01.01.1950;59,1;
01.02.1950;60,5;
01.03.1950;62,1;
01.04.1950;68,1;
01.05.1950;74,7;
01.06.1950;76,6;
01.07.1950;77,5;
01.08.1950;75,8;
01.09.1950;68,1;
01.10.1950;59,2;
01.11.1950;63,1;
01.12.1950;67,1;
01.01.1951;67,8;
01.02.1951;69,3;
01.03.1951;65,5;
01.04.1951;53,5;
01.05.1951;50,7;
01.06.1951;45,5;
01.07.1951;42,1;
01.08.1951;43,6;
01.09.1951;48,1;
01.10.1951;49,6;
01.11.1951;47,2;
01.12.1951;46,5;
01.01.1952;44,7;
01.02.1952;41,8;
01.03.1952;40;
01.04.1952;36,7;
01.05.1952;39,5;
01.06.1952;43,3;
01.07.1952;48,3;
01.08.1952;60,4;
01.09.1952;56,1;
01.10.1952;56,2;
01.11.1952;56,8;
01.12.1952;55,8;
01.01.1953;59,4;
01.02.1953;55,4;
01.03.1953;50,5;
01.04.1953;51,1;
01.05.1953;48,9;
01.06.1953;48,5;
01.07.1953;46,3;
01.08.1953;43,5;
01.09.1953;40,2;
01.10.1953;37,4;
01.11.1953;36,9;
01.12.1953;35,6;
01.01.1954;37,4;
01.02.1954;40,7;
01.03.1954;44,7;
01.04.1954;47,7;
01.05.1954;50,1;
01.06.1954;52,1;
01.07.1954;51,7;
01.08.1954;54,4;
01.09.1954;53,5;
01.10.1954;58,2;
01.11.1954;58,8;
01.12.1954;63,8;
01.01.1955;63;
01.02.1955;67,8;
01.03.1955;67,5;
01.04.1955;68,7;
01.05.1955;69,5;
01.06.1955;63,3;
01.07.1955;66,2;
01.08.1955;64,8;
01.09.1955;62,4;
01.10.1955;63,7;
01.11.1955;62;
01.12.1955;65,6;
01.01.1956;60,2;
01.02.1956;58,2;
01.03.1956;57,2;
01.04.1956;55,9;
01.05.1956;51,2;
01.06.1956;47,7;
01.07.1956;44,2;
01.08.1956;51,5;
01.09.1956;55,5;
01.10.1956;52,7;
01.11.1956;55;
01.12.1956;52,7;
01.01.1957;53,6;
01.02.1957;51;
01.03.1957;47,5;
01.04.1957;43,1;
01.05.1957;43,4;
01.06.1957;45,9;
01.07.1957;45,7;
01.08.1957;45,3;
01.09.1957;45,8;
01.10.1957;41,1;
01.11.1957;40,4;
01.12.1957;36,8;
01.01.1958;33,4;
01.02.1958;37,2;
01.03.1958;39,8;
01.04.1958;39,1;
01.05.1958;46,6;
01.06.1958;51,4;
01.07.1958;54,7;
01.08.1958;57,3;
01.09.1958;59,8;
01.10.1958;62,3;
01.11.1958;62,7;
01.12.1958;60,5;
01.01.1959;64,4;
01.02.1959;66,9;
01.03.1959;67,1;
01.04.1959;66,9;
01.05.1959;68,2;
01.06.1959;64,4;
01.07.1959;61,5;
01.08.1959;55,1;
01.09.1959;48,3;
01.10.1959;49,7;
01.11.1959;50,6;
01.12.1959;58,2;
01.01.1960;61,5;
01.02.1960;52,3;
01.03.1960;47,8;
01.04.1960;45,3;
01.05.1960;42,6;
01.06.1960;44,4;
01.07.1960;43,7;
01.08.1960;47,6;
01.09.1960;45,4;
01.10.1960;46;
01.11.1960;44,3;
01.12.1960;44,3;
01.01.1961;43,9;
01.02.1961;43,6;
01.03.1961;49,1;
01.04.1961;57,6;
01.05.1961;58,9;
01.06.1961;58,1;
01.07.1961;58,2;
01.08.1961;60,7;
01.09.1961;63;
01.10.1961;62,2;
01.11.1961;59;
01.12.1961;64,2;
01.01.1962;60,9;
01.02.1962;61,1;
01.03.1962;60,6;
01.04.1962;55,1;
01.05.1962;52,2;
01.06.1962;50,8;
01.07.1962;51;
01.08.1962;49,5;
01.09.1962;50;
01.10.1962;51,2;
01.11.1962;53,8;
01.12.1962;57,2;
01.01.1963;55,2;
01.02.1963;55,1;
01.03.1963;54,7;
01.04.1963;57,6;
01.05.1963;59,8;
01.06.1963;58,2;
01.07.1963;55,5;
01.08.1963;55,1;
01.09.1963;56,9;
01.10.1963;57,7;
01.11.1963;57,5;
01.12.1963;54;
01.01.1964;57,1;
01.02.1964;57,9;
01.03.1964;60,2;
01.04.1964;59,2;
01.05.1964;58,7;
01.06.1964;60,1;
01.07.1964;62,9;
01.08.1964;63,3;
01.09.1964;63,3;
01.10.1964;60,7;
01.11.1964;61,8;
01.12.1964;62,4;
01.01.1965;61;
01.02.1965;62,1;
01.03.1965;64,9;
01.04.1965;62;
01.05.1965;61,3;
01.06.1965;58,7;
01.07.1965;58,1;
01.08.1965;58,1;
01.09.1965;61;
01.10.1965;58,6;
01.11.1965;59,4;
01.12.1965;62,8;
01.01.1966;65,8;
01.02.1966;65,5;
01.03.1966;65,7;
01.04.1966;64,2;
01.05.1966;57,7;
01.06.1966;59;
01.07.1966;60,3;
01.08.1966;58,5;
01.09.1966;58,7;
01.10.1966;57,2;
01.11.1966;53,7;
01.12.1966;52,4;
01.01.1967;49,1;
01.02.1967;47,6;
01.03.1967;45,3;
01.04.1967;42,8;
01.05.1967;44,5;
01.06.1967;46,8;
01.07.1967;49,5;
01.08.1967;52,2;
01.09.1967;54,9;
01.10.1967;54,1;
01.11.1967;54,2;
01.12.1967;55,6;
01.01.1968;56,6;
01.02.1968;55;
01.03.1968;53,8;
01.04.1968;58;
01.05.1968;55,3;
01.06.1968;53,5;
01.07.1968;54,1;
01.08.1968;52,7;
01.09.1968;51,8;
01.10.1968;55,8;
01.11.1968;58,1;
01.12.1968;56,1;
01.01.1969;54,9;
01.02.1969;57;
01.03.1969;57,1;
01.04.1969;55,2;
01.05.1969;56,7;
01.06.1969;55,5;
01.07.1969;53,1;
01.08.1969;54,8;
01.09.1969;54,1;
01.10.1969;54,6;
01.11.1969;53,2;
01.12.1969;52;
01.01.1970;48,7;
01.02.1970;47,4;
01.03.1970;46,9;
01.04.1970;45;
01.05.1970;47,2;
01.06.1970;51,1;
01.07.1970;49,5;
01.08.1970;47,3;
01.09.1970;44,1;
01.10.1970;42,4;
01.11.1970;39,7;
01.12.1970;45,4;
01.01.1971;47,9;
01.02.1971;54,8;
01.03.1971;51,2;
01.04.1971;54,5;
01.05.1971;54,2;
01.06.1971;53,8;
01.07.1971;54,4;
01.08.1971;53,6;
01.09.1971;55,1;
01.10.1971;55;
01.11.1971;52,3;
01.12.1971;57,6;
01.01.1972;59,6;
01.02.1972;60,6;
01.03.1972;59,8;
01.04.1972;59,3;
01.05.1972;61,4;
01.06.1972;58,6;
01.07.1972;60,1;
01.08.1972;61,7;
01.09.1972;65,1;
01.10.1972;67;
01.11.1972;69,9;
01.12.1972;70,5;
01.01.1973;72,1;
01.02.1973;69,6;
01.03.1973;69,6;
01.04.1973;67,7;
01.05.1973;64,8;
01.06.1973;65;
01.07.1973;57,8;
01.08.1973;62,7;
01.09.1973;63,5;
01.10.1973;66,2;
01.11.1973;68,1;
01.12.1973;63,6;
01.01.1974;62,1;
01.02.1974;58,6;
01.03.1974;61,8;
01.04.1974;59,9;
01.05.1974;55,7;
01.06.1974;54,7;
01.07.1974;54,8;
01.08.1974;52,9;
01.09.1974;46,2;
01.10.1974;42,7;
01.11.1974;37,9;
01.12.1974;30,9;
01.01.1975;30,7;
01.02.1975;34,4;
01.03.1975;31,6;
01.04.1975;37,5;
01.05.1975;41,2;
01.06.1975;45,1;
01.07.1975;47,2;
01.08.1975;51,4;
01.09.1975;54,4;
01.10.1975;55,5;
01.11.1975;54,5;
01.12.1975;54,9;
01.01.1976;58,8;
01.02.1976;61,5;
01.03.1976;58,4;
01.04.1976;60,6;
01.05.1976;58,8;
01.06.1976;58,2;
01.07.1976;55,9;
01.08.1976;54,5;
01.09.1976;53,6;
01.10.1976;53,5;
01.11.1976;51,7;
01.12.1976;56,6;
01.01.1977;54,8;
01.02.1977;55;
01.03.1977;58,4;
01.04.1977;56,9;
01.05.1977;59,7;
01.06.1977;56,8;
01.07.1977;57,7;
01.08.1977;54,9;
01.09.1977;53,9;
01.10.1977;55,4;
01.11.1977;56,1;
01.12.1977;59,8;
01.01.1978;57,4;
01.02.1978;55,9;
01.03.1978;55;
01.04.1978;57,7;
01.05.1978;60,2;
01.06.1978;60,5;
01.07.1978;62,2;
01.08.1978;60,3;
01.09.1978;60,5;
01.10.1978;60,1;
01.11.1978;61,3;
01.12.1978;59,4;
01.01.1979;58,5;
01.02.1979;58,2;
01.03.1979;57,7;
01.04.1979;56,2;
01.05.1979;54,4;
01.06.1979;52,7;
01.07.1979;51,3;
01.08.1979;49,5;
01.09.1979;49,6;
01.10.1979;49;
01.11.1979;48;
01.12.1979;44,8;
01.01.1980;46,2;
01.02.1980;50,2;
01.03.1980;43,6;
01.04.1980;37,4;
01.05.1980;29,4;
01.06.1980;30,3;
01.07.1980;35;
01.08.1980;45,5;
01.09.1980;50,1;
01.10.1980;55,5;
01.11.1980;58,2;
01.12.1980;53;
01.01.1981;49,2;
01.02.1981;48,8;
01.03.1981;49,6;
01.04.1981;51,6;
01.05.1981;53,5;
01.06.1981;50,7;
01.07.1981;46,7;
01.08.1981;48,3;
01.09.1981;42,5;
01.10.1981;40;
01.11.1981;36,1;
01.12.1981;37,8;
01.01.1982;38,2;
01.02.1982;38,3;
01.03.1982;36,8;
01.04.1982;37,8;
01.05.1982;35,5;
01.06.1982;38,3;
01.07.1982;38,4;
01.08.1982;38,3;
01.09.1982;38,8;
01.10.1982;39,4;
01.11.1982;39,2;
01.12.1982;42,8;
01.01.1983;46;
01.02.1983;54,4;
01.03.1983;53,9;
01.04.1983;54,2;
01.05.1983;56,1;
01.06.1983;57,5;
01.07.1983;63,6;
01.08.1983;63,1;
01.09.1983;62,5;
01.10.1983;64,4;
01.11.1983;66;
01.12.1983;69,9;
01.01.1984;60,5;
01.02.1984;61,3;
01.03.1984;58,9;
01.04.1984;61;
01.05.1984;58,6;
01.06.1984;58,1;
01.07.1984;56,1;
01.08.1984;53;
01.09.1984;50;
01.10.1984;50,8;
01.11.1984;50,3;
01.12.1984;50,6;
01.01.1985;50,3;
01.02.1985;49,9;
01.03.1985;47,8;
01.04.1985;48,2;
01.05.1985;47,1;
01.06.1985;47,8;
01.07.1985;47,9;
01.08.1985;47,7;
01.09.1985;49,9;
01.10.1985;50,9;
01.11.1985;52;
01.12.1985;50,7;
01.01.1986;51,2;
01.02.1986;51;
01.03.1986;51;
01.04.1986;49,7;
01.05.1986;53,4;
01.06.1986;50,5;
01.07.1986;48;
01.08.1986;52,6;
01.09.1986;52,4;
01.10.1986;51,2;
01.11.1986;51,2;
01.12.1986;50,5;
01.01.1987;54,9;
01.02.1987;52,6;
01.03.1987;55;
01.04.1987;55,5;
01.05.1987;57,2;
01.06.1987;57,4;
01.07.1987;57,5;
01.08.1987;59,3;
01.09.1987;60;
01.10.1987;60,7;
01.11.1987;58,8;
01.12.1987;61;
01.01.1988;57,5;
01.02.1988;56,2;
01.03.1988;54,6;
01.04.1988;55,8;
01.05.1988;55,5;
01.06.1988;59,3;
01.07.1988;58,2;
01.08.1988;56;
01.09.1988;54,5;
01.10.1988;55,4;
01.11.1988;55,6;
01.12.1988;56;
01.01.1989;54,7;
01.02.1989;54,1;
01.03.1989;51,5;
01.04.1989;52,2;
01.05.1989;49,3;
01.06.1989;47,3;
01.07.1989;45,9;
01.08.1989;45,1;
01.09.1989;46;
01.10.1989;46,8;
01.11.1989;46,8;
01.12.1989;47,4;
01.01.1990;47,2;
01.02.1990;49,1;
01.03.1990;49,9;
01.04.1990;50;
01.05.1990;49,5;
01.06.1990;49,2;
01.07.1990;46,6;
01.08.1990;46,1;
01.09.1990;44,5;
01.10.1990;43,2;
01.11.1990;41,3;
01.12.1990;40,8;
01.01.1991;39,2;
01.02.1991;39,4;
01.03.1991;40,7;
01.04.1991;42,8;
01.05.1991;44,5;
01.06.1991;50,3;
01.07.1991;50,6;
01.08.1991;52,9;
01.09.1991;54,9;
01.10.1991;53,1;
01.11.1991;49,5;
01.12.1991;46,8;
01.01.1992;47,3;
01.02.1992;52,7;
01.03.1992;54,6;
01.04.1992;52,6;
01.05.1992;55,7;
01.06.1992;53,6;
01.07.1992;53,9;
01.08.1992;53,4;
01.09.1992;49,7;
01.10.1992;50,3;
01.11.1992;53,6;
01.12.1992;54,2;
01.01.1993;55,8;
01.02.1993;55,2;
01.03.1993;53,5;
01.04.1993;50,2;
01.05.1993;51,2;
01.06.1993;49,6;
01.07.1993;50,2;
01.08.1993;50,7;
01.09.1993;50,8;
01.10.1993;53,4;
01.11.1993;53,8;
01.12.1993;55,6;
01.01.1994;56;62,796
01.02.1994;56,5;67,53
01.03.1994;56,9;61,892
01.04.1994;57,4;60,571
01.05.1994;58,2;63,103
01.06.1994;58,8;62,938
01.07.1994;58,5;63,105
01.08.1994;58;59,488
01.09.1994;59;59,361
01.10.1994;59,4;61,332
01.11.1994;59,2;60,53
01.12.1994;56,1;62,291
01.01.1995;57,4;62,953
01.02.1995;55,1;63,782
01.03.1995;52,1;61,91
01.04.1995;51,5;59,681
01.05.1995;46,7;58,908
01.06.1995;45,9;58,161
01.07.1995;50,7;65,398
01.08.1995;47,1;56,525
01.09.1995;48,1;55,665
01.10.1995;46,7;53,13
01.11.1995;45,9;55,075
01.12.1995;46,2;54,025
01.01.1996;45,5;50,156
01.02.1996;45,9;46,384
01.03.1996;46,9;52,645
01.04.1996;49,3;54,637
01.05.1996;49,1;48,989
01.06.1996;53,6;50,636
01.07.1996;49,7;54,717
01.08.1996;51,6;56,457
01.09.1996;51,1;59,281
01.10.1996;50,5;57,494
01.11.1996;53;61,572
01.12.1996;55,2;60,705
01.01.1997;53,8;62,716
01.02.1997;53,1;57,648
01.03.1997;53,8;60,386
01.04.1997;53,7;60,874
01.05.1997;56,1;64,187
01.06.1997;54,9;63,393
01.07.1997;57,7;54,922
01.08.1997;56,3;61,253
01.09.1997;53,9;61,838
01.10.1997;56,4;58,836
01.11.1997;55,7;56,305
01.12.1997;54,5;56,739
01.01.1998;53,8;55,768
01.02.1998;52,9;55,651
01.03.1998;52,9;58,86
01.04.1998;52,2;58,808
01.05.1998;50,9;60,331
01.06.1998;48,9;57,465
01.07.1998;49,2;50,707
01.08.1998;49,3;62,842
01.09.1998;48,7;51,544
01.10.1998;48,7;54,959
01.11.1998;48,2;48,176
01.12.1998;46,8;49,937
01.01.1999;50,6;53,691
01.02.1999;51,7;55,515
01.03.1999;52,4;45,318
01.04.1999;52,3;50,98
01.05.1999;54,3;48,325
01.06.1999;55,8;51,513
01.07.1999;53,6;53,073
01.08.1999;54,8;49,579
01.09.1999;57;52,052
01.10.1999;57,2;69,789
01.11.1999;58,1;64,628
01.12.1999;57,8;46,558
01.01.2000;56,7;56,505
01.02.2000;55,8;60,091
01.03.2000;54,9;58,028
01.04.2000;54,7;54,898
01.05.2000;53,2;55,177
01.06.2000;51,4;53,67
01.07.2000;52,5;64,065
01.08.2000;49,9;56,807
01.09.2000;49,7;56,212
01.10.2000;48,7;59,706
01.11.2000;48,5;54,289
01.12.2000;43,9;55,545
01.01.2001;42,3;52,879
01.02.2001;42,1;51,592
01.03.2001;43,1;52,488
01.04.2001;42,7;49,613
01.05.2001;41,3;52,888
01.06.2001;43,2;53,97
01.07.2001;43,5;50,419
01.08.2001;46,3;53,212
01.09.2001;46,2;47,745
01.10.2001;40,8;46,09
01.11.2001;44,1;50,815
01.12.2001;45,3;46,098
01.01.2002;47,5;52,423
01.02.2002;50,7;53,277
01.03.2002;52,4;53,021
01.04.2002;52,4;55,708
01.05.2002;53,1;52,261
01.06.2002;53,6;53,983
01.07.2002;50,2;54,326
01.08.2002;50,3;53,111
01.09.2002;50,5;52,083
01.10.2002;49;47,567
01.11.2002;48,5;47,956
01.12.2002;51,6;48,709
01.01.2003;51,3;46,302
01.02.2003;48,8;46,268
01.03.2003;46,3;49,922
01.04.2003;46,1;52,91
01.05.2003;49;50,109
01.06.2003;49;47,144
01.07.2003;51;49,655
01.08.2003;53,2;49,776
01.09.2003;52,4;59,654
01.10.2003;55,2;54,139
01.11.2003;58,4;57,697
01.12.2003;60,1;60,396
01.01.2004;60,8;46,364
01.02.2004;59,9;56,967
01.03.2004;60,6;58,987
01.04.2004;60,6;59,157
01.05.2004;61,4;61,269
01.06.2004;60,5;51,93
01.07.2004;59,9;56,181
01.08.2004;58,5;62,382
01.09.2004;57,4;57,364
01.10.2004;56,3;56,863
01.11.2004;56,2;54,391
01.12.2004;57,2;57,574
01.01.2005;56,8;59,363
01.02.2005;55,5;55,305
01.03.2005;55,2;56,657
01.04.2005;52,2;52,882
01.05.2005;50,8;53,506
01.06.2005;52,4;58,586
01.07.2005;52,8;56,441
01.08.2005;52,4;56,327
01.09.2005;56,8;61,166
01.10.2005;57,2;68,916
01.11.2005;56,7;57,522
01.12.2005;55,1;59,789
01.01.2006;55;58,944
01.02.2006;55,8;60,346
01.03.2006;54,3;52,939
01.04.2006;55,2;55,979
01.05.2006;53,7;56,86
01.06.2006;52;56,701
01.07.2006;53;58,35
01.08.2006;53,7;63,47
01.09.2006;52,2;62,878
01.10.2006;51,4;62,629
01.11.2006;50,3;66,76
01.12.2006;51,4;62,487
01.01.2007;50,4;55,687
01.02.2007;54,1;60,549
01.03.2007;52,8;65,526
01.04.2007;52,7;63,435
01.05.2007;53,1;62,802
01.06.2007;54;59,074
01.07.2007;51,8;63,99
01.08.2007;52,2;55,047
01.09.2007;53,8;57,171
01.10.2007;52,8;59,924
01.11.2007;51,5;57,013
01.12.2007;50,1;55,607
01.01.2008;50,9;56,301
01.02.2008;48,8;64,863
01.03.2008;49,7;57,039
01.04.2008;48,5;44,912
01.05.2008;48,9;66,769
01.06.2008;49,9;62,612
01.07.2008;50,8;38,966
01.08.2008;50,1;48,698
01.09.2008;47,2;52,918
01.10.2008;38,2;40,775
01.11.2008;39;45,458
01.12.2008;34,5;40,295
01.01.2009;36,4;25,279
01.02.2009;36,6;25,051
01.03.2009;37,2;30,558
01.04.2009;39,9;34,424
01.05.2009;44,1;27,724
01.06.2009;46,3;41,998
01.07.2009;49,7;47,815
01.08.2009;53,4;42,553
01.09.2009;54,9;42,745
01.10.2009;57,6;49,882
01.11.2009;55,4;50,667
01.12.2009;55,8;49,493
01.01.2010;56,3;50,933
01.02.2010;55,5;48,921
01.03.2010;58,8;51,67
01.04.2010;58,1;48,899
01.05.2010;57,4;51,32
01.06.2010;56,5;50,199
01.07.2010;56,1;54,465
01.08.2010;56,4;54,711
01.09.2010;55,3;56,288
01.10.2010;56,9;56,902
01.11.2010;57,3;55,808
01.12.2010;56,6;62,436
01.01.2011;59,1;57,196
01.02.2011;59,2;60,706
01.03.2011;58,4;62,069
01.04.2011;57,9;62,824
01.05.2011;54,8;58,579
01.06.2011;55,8;58,058
01.07.2011;52,9;58,597
01.08.2011;52,6;55,089
01.09.2011;53,7;64,444
01.10.2011;51,4;43,959
01.11.2011;51,8;47,822
01.12.2011;53;58,485
01.01.2012;53,2;52,102
01.02.2012;52,6;53,718
01.03.2012;53,5;50,314
01.04.2012;54,2;63,257
01.05.2012;52,6;51,404
01.06.2012;48,9;52,683
01.07.2012;50,2;47,548
01.08.2012;49,4;51,134
01.09.2012;51,2;52,226
01.10.2012;51;57,486
01.11.2012;49,1;56,35
01.12.2012;50,4;57,691
01.01.2013;52,3;55,297
01.02.2013;53,5;60,678
01.03.2013;51,5;49,809
01.04.2013;50,4;48,839
01.05.2013;50,6;54,753
01.06.2013;50,8;57,759
01.07.2013;54,5;59,69
01.08.2013;54,8;60,473
01.09.2013;55;55,999
01.10.2013;55,1;55,846
01.11.2013;56,4;57,948
01.12.2013;56,6;53,383
01.01.2014;51,8;55,605
01.02.2014;54,4;55,774
01.03.2014;55,5;60,298
01.04.2014;55,9;59,971
01.05.2014;55,7;58,794
01.06.2014;54,9;51,892
01.07.2014;55,6;50,444
01.08.2014;56,8;48,495
01.09.2014;56,1;51,789
01.10.2014;56,6;54,279
01.11.2014;56,8;51,654
01.12.2014;55,6;53,617
01.01.2015;53,6;55,139
01.02.2015;52,7;55,936
01.03.2015;51,9;58,519
01.04.2015;51,9;52,781
01.05.2015;52,6;53,369
01.06.2015;52,6;54,799
01.07.2015;52,2;53,151
01.08.2015;50,4;63,105
01.09.2015;50,1;70,026
01.10.2015;49,3;56,059
01.11.2015;49,5;61,701
01.12.2015;48,8;54,217
01.01.2016;47;53,967
01.02.2016;49,1;47,625
01.03.2016;51;54,966
01.04.2016;51;62,566
01.05.2016;51,3;63,393
01.06.2016;52,5;60,667
01.07.2016;52,5;60,552
01.08.2016;50;54,528
01.09.2016;51,2;59,838
01.10.2016;52;57,994
01.11.2016;53,4;57,316
01.12.2016;54,4;61,655
01.01.2017;55,3;56,28
01.02.2017;57,4;51,487
01.03.2017;56,4;56,514
01.04.2017;55,5;48,281
01.05.2017;56,4;61,189
01.06.2017;56,4;65,398
01.07.2017;56,8;65,095
01.08.2017;58,8;61,808
01.09.2017;59,9;62,727
01.10.2017;58,8;59,281
01.11.2017;58,1;58,187
01.12.2017;59,1;59,663
01.01.2018;59,2;64,463
01.02.2018;60,6;64,473
01.03.2018;58,9;60,784
01.04.2018;58,4;53,256
01.05.2018;59;52,38
01.06.2018;59,9;52,592
01.07.2018;58,2;57,466
01.08.2018;60,8;60,67
01.09.2018;59,3;54,719
01.10.2018;58,5;67,725
01.11.2018;58,8;56,991
01.12.2018;55;57,373
01.01.2019;55,5;46,825
01.02.2019;54,1;60,264
01.03.2019;54,6;55,638
01.04.2019;53,4;57,965
01.05.2019;52,3;49,463
01.06.2019;51,6;44,988
01.07.2019;51,3;49,792
01.08.2019;48,8;49,481
01.09.2019;48,2;51,185
01.10.2019;48,5;50,705
01.11.2019;48,1;53,331
01.12.2019;47,8;50,83
01.01.2020;50,9;52,874
01.02.2020;50,1;47,876
01.03.2020;49,1;46,539
01.04.2020;41,5;38,612
